event-name,event-datetime,event-type,price,event-location,user-age,user-category,instagram,organizer,price_numeric_min,price_numeric_max,price_category,age_group_label,audience_size_estimate,dance_focus,dance_style,season,region,cross_border_potential
Ü30-Party @ Sudhaus Basel,2025-09-20 22:00,Clubnacht / Tanzparty,15 CHF,"Sudhaus Basel, Schweiz",30-55,"Ü30, Party-Publikum",@sudhaus_basel,Sudhaus Basel,15.0,15.0,günstig,Midlife,300-2000,Ja,None,Herbst,Basel,Ja
Sunday Hop @ Basel Jitterbugs,jeden Sonntag 18:00,Swing Social Dance (Lindy Hop/Balboa),10 CHF,"Unternehmen Mitte, Basel",20-45,Swingtanz-Community,@baseljitterbugs,Basel Jitterbugs,10.0,10.0,günstig,Midlife,50-200,Ja,Swing/Balboa,unknown,Basel,Ja
3-Floor-Práctica Bailamos Salsa,jeden Donnerstag 20:00,Salsa/Bachata/Kizomba Social Dance,10-15 CHF,"Bailamos Salsa GmbH, Basel",20-40,Latin Dance Community,@bailamossalsa,Bailamos Salsa GmbH,10.0,15.0,günstig,Adults,50-200,Ja,Salsa/Bachata/Kizomba,unknown,Basel,Ja
Nellies Tanztee,2025-09-28 15:00,Tanztee / Social,Eintritt frei / Spende,"Nellie Nashorn, Lörrach",40-70,"Soziokultur, Generation 40+",@nellie.nashorn,Nellie Nashorn,,,teuer,Senior/All Ages,50-200,Ja,None,Herbst,Lörrach/Weil,Ja
STIMMEN Festival,Sommer 2025 (mehrere Tage),Open-Air Musikfestival,40-120 € je nach Konzert,Burghof Lörrach & weitere Locations,25-60,"Festivalbesucher, Kulturinteressierte",@burghof,Burghof Lörrach GmbH,40.0,120.0,teuer,Midlife,>10000,Nein,Multigenre,unknown,Lörrach/Weil,Ja
Sea You Festival,Juli 2025 (3 Tage),Elektronisches Musikfestival,99-169 €,"Tunisee, Freiburg",18-35,"EDM-Fans, Festivalgänger",@seayoufestival,Sea You Freiburg GmbH,99.0,169.0,teuer,Adults,>10000,Nein,Multigenre,Sommer,Freiburg,Ja
Zelt-Musik-Festival (ZMF),Juli 2025 (3 Wochen),Multigenre Festival (Musik/Tanz/Kleinkunst),20-80 €,"Mundenhof, Freiburg",25-60,"Breites Publikum, Kulturinteressierte",@zmf_freiburg,ZMF GmbH & Vaddi Concerts,20.0,80.0,teuer,Midlife,>10000,Ja,Multigenre,Sommer,Freiburg,Ja
Atlantis Tanznacht40,monatlich Samstags 21:00,Ü40 Tanznacht / Clubnacht,15 CHF,Atlantis Basel,40-65,Ü40 Party-Publikum,@atlantisbasel,Atlantis Basel,15.0,15.0,günstig,Senior/All Ages,300-2000,Ja,None,unknown,Basel,Ja
Nordstern Weekend Club,jedes Wochenende ab 23:00,Techno/House Clubnacht,20-30 CHF,"Nordstern, Basel",20-40,Techno/House Fans,@nordsternbasel,Nordstern Basel,20.0,30.0,mittel,Adults,300-2000,Nein,EDM/Techno/House,unknown,Basel,Ja
Corrientes Milonga,jeden Freitag 20:00,Tango Social Dance,12 CHF,Corrientes Basel,30-65,Tango-Community,@corrientesbasel,Corrientes Basel,12.0,12.0,günstig,Senior/All Ages,50-200,Ja,Tango,unknown,Basel,Ja
Unternehmen Mitte Salsa Social,jeden Sonntag 19:00,Salsa/Bachata Social Dance,10 CHF,"Unternehmen Mitte, Basel",20-40,Latin Dance Community,@unternehmenmitte,Salsa Basel Community,10.0,10.0,günstig,Adults,50-200,Ja,Salsa/Bachata/Kizomba,unknown,Basel,Ja
KC Afterwork Salsa,monatlich Donnerstag 19:00,Afterwork Salsa/Bachata,10 €,Lörrach,25-45,Afterwork & Tanz Community,@kcafterwork,KC Afterwork Lörrach,10.0,10.0,günstig,Midlife,unknown,Ja,Salsa/Bachata/Kizomba,unknown,Lörrach/Weil,Ja
Tanzschule Neugebauer Übungsabend,Samstags 20:00,Standard/Latein Social Dance,8-12 €,"TSNL, Lörrach",20-60,Paartanz-Community,@tsnl_loerrach,Tanzschule Neugebauer,8.0,12.0,günstig,Midlife,50-200,Ja,Standard/Latein,unknown,Lörrach/Weil,Ja
Siebenschritt Bal Folk Ball,vierteljährlich Samstags,Bal Folk Tanzball,15-25 €,Freiburg,25-60,Bal Folk Community,@siebenschritt_freiburg,Siebenschritt e.V.,15.0,25.0,mittel,Midlife,50-200,Ja,Swing/Balboa,unknown,Freiburg,Ja
Swing-in’ Freiburg Social,jeden Freitag 20:00,Swing/Lindy Hop Social Dance,10 €,Freiburg,20-45,Swingtanz-Community,@swinginfreiburg,Swing-in’ Freiburg,10.0,10.0,günstig,Midlife,50-200,Ja,Swing/Balboa,unknown,Freiburg,Ja
Tanzschule Gutmann Late Night,jeden Samstag 21:00,Multigenre Social Dance,10-15 €,"Tanzschule Gutmann, Freiburg",20-40,Tanzschul-Community,@tanzschulegutmann,Tanzschule Gutmann,10.0,15.0,günstig,Adults,50-200,Ja,None,unknown,Freiburg,Ja
Jazzhaus Freiburg 80s Party,monatlich Samstag 23:00,80er Tanznacht,12-18 €,Jazzhaus Freiburg,25-50,"80er Fans, Clubgäste",@jazzhausfreiburg,Jazzhaus Freiburg,12.0,18.0,mittel,Midlife,300-2000,Ja,None,unknown,Freiburg,Ja
Museumsnacht Basel,Januar 2026 (1 Nacht),Kulturelles Stadtfestival,25 CHF,Museen Basel,20-65,Kultur- & Social-Community,@museumsnachtbasel,Museen Basel,25.0,25.0,mittel,Senior/All Ages,>10000,Nein,Multigenre,Winter,Basel,Ja
Die 10 Gebote – Ein Pop-Oratorium,2025-09-21 19:00,Musical / Konzert,ab 32 €,Burghof Lörrach,20-55,Musical & Konzert Publikum,@burghof,Burghof Lörrach GmbH,32.0,32.0,mittel,Midlife,unknown,Nein,None,Herbst,Lörrach/Weil,Ja
Kammerorchester Basel – Philosophen und Poeten,2025-09-20 19:30,Klassik Konzert,CHF 40-80,"Don Bosco, Basel",30-65,Klassik-Publikum,@kammerorchesterbasel,Kammerorchester Basel,40.0,80.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
YARD 2025 – Kunstmuseum Basel,"Juli-August 2025, mittwochs abends",Kunst & Musik Open-Air,kostenlos,Kunstmuseum Basel,18-50,Kultur- & Musik-Community,@kunstmuseumbasel,Kunstmuseum Basel,,,teuer,Midlife,unknown,Nein,None,Sommer,Basel,Ja
Mobilär Dayrave powered by Energy,2025-09-20,Elektronische Musik / Dayrave,CHF 30-60,"Park Lange Erlen, Basel",18-35,EDM & Party Crowd,@energych,Energy Events,30.0,60.0,teuer,Adults,unknown,Nein,None,Herbst,Basel,Ja
Esteriore Brothers Live,2025-09-23 20:00,Pop Konzert,CHF 40-90,Stadtcasino Basel,20-50,Popmusik Fans,@estetiorebrothers,Stadtcasino Basel,40.0,90.0,teuer,Midlife,unknown,Nein,None,Herbst,Basel,Ja
Lisette Spinnler Quintet – Roche 'n' Jazz,2025-09-26 16:00,Jazz Konzert,Museumseintritt CHF 15-20,"Museum Tinguely, Basel",30-60,Jazz & Kulturpublikum,@museumtinguely,Museum Tinguely,15.0,20.0,mittel,Midlife,unknown,Nein,None,Herbst,Basel,Ja
Nellies Tanztee,monatlich Sonntags 15:00,Tanztee / Social,Eintritt frei / Spende,"Nellie Nashorn, Lörrach",40-70,Soziokultur & Generation 40+,@nellie.nashorn,Nellie Nashorn,,,teuer,Senior/All Ages,50-200,Ja,None,unknown,Lörrach/Weil,Ja
Burgfestspiele Rötteln – Tartuffe der Betrüger,2025-06-20 bis 2025-08-02 (Fr/Sa),Theater / Freilichtspiel,25-45 €,"Burg Rötteln, Lörrach",25-65,Theater- & Kulturpublikum,@burgruine_roetteln,Burgfestspiele Rötteln,25.0,45.0,teuer,Senior/All Ages,unknown,Nein,None,Sommer,Lörrach/Weil,Ja
1. Mai Hock auf Rötteln,2025-05-01,Volksfest / Outdoor,kostenlos,"Burg Rötteln, Lörrach",alle Altersgruppen,Familien & Stadtbevölkerung,@burgruine_roetteln,Burg Rötteln Verein,,,teuer,unknown,unknown,Nein,None,Frühling,Lörrach/Weil,Ja
Rheinfelden Cityfest,2025-06-19 bis 2025-06-22,Stadtfest / Musik & Markt,kostenlos,Innenstadt Rheinfelden,alle Altersgruppen,Community / Stadtfestbesucher,@rheinfeldenbaden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Sommer,unknown,Nein
Märkte Innenstadt Rheinfelden,2025-09-05 bis 2025-09-07,Markt / Stadtleben,kostenlos,Innenstadt Rheinfelden,alle Altersgruppen,Marktbesucher,@rheinfeldenbaden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Herbst,unknown,Nein
AUREA Jukebox Night,2025-09-18 19:00,Musiknacht / Bar-Event,15-25 CHF,"AUREA, Rheinfelden",20-45,Bar- & Clubgänger,@aurea_rheinfelden,AUREA Rheinfelden,15.0,25.0,mittel,Midlife,300-2000,Nein,None,Herbst,unknown,Nein
Schnitzelbank-Abend,2025-09-19 19:30,Unterhaltung / Restaurant-Abend,20-30 CHF,"Restaurant Schiff, Rheinfelden",30-70,Lokalbesucher,@restaurant_schiff_rheinfelden,Restaurant Schiff Rheinfelden,20.0,30.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Konzert Projektchor CHORTUS,2025-09-21 17:00,Chor-Konzert,15-25 CHF,Kapuzinerkirche Rheinfelden,30-70,Chormusik- & Kulturfans,@chortrus_rheinfelden,Projektchor CHORTUS,15.0,25.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Theater Freiburg – Wasserwelt. Das Musical,2025-09-26 20:00,Musical / Theater,25-60 €,Theater Freiburg,18-60,Musical- & Theaterfans,@theaterfreiburg,Theater Freiburg,25.0,60.0,teuer,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Räng Slam Freiburg,2025-09-10 20:00,Poetry Slam / Spoken Word,10-15 €,"Räng Teng Teng, Freiburg",18-45,Poetry Slam Fans,@poetryslamfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Atlantik Slam Freiburg,jeden letzten Donnerstag im Monat 20:00,Poetry Slam / Open Stage,10-15 €,"Café Atlantik, Freiburg",18-45,Poetry Slam Fans,@cafeatlantikfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Midlife,unknown,Nein,None,unknown,Freiburg,Ja
Kommunales Kino Freiburg – HerStories: arabische Filmpionierinnen,2025-09-12 bis 2025-09-14,Filmfestival / Kino / Panel,8-12 €,"Kommunales Kino, Freiburg",18-60,Film- & Kulturpublikum,@koki_freiburg,Kommunales Kino Freiburg,8.0,12.0,günstig,Midlife,>10000,Nein,Multigenre,Herbst,Freiburg,Ja
Sommernachtskino im Schwarzen Kloster,"2025-06-26 bis 2025-09-07, abends",Open-Air Kino,8-12 €,"Innenhof Schwarzes Kloster, Freiburg",alle Altersgruppen,Filmfans & Sommerpublikum,@sommernachtskino,Sommernachtskino Freiburg,8.0,12.0,günstig,unknown,unknown,Nein,None,Sommer,Freiburg,Ja
Internationales Sommerfest Lörrach,2025-07-12 10:00-17:00,Stadtfest / Kultur / Musik & Markt,kostenlos,"Alter Marktplatz, Lörrach",alle Altersgruppen,"Stadtbevölkerung, Kulturfreunde",@stadt.loerrach,Stadt Lörrach,,,teuer,unknown,500-5000,Nein,None,Sommer,Lörrach/Weil,Ja
Newcomer*innen Poetry Slam Freiburg,2025-09-26 19:00,Poetry Slam / Jugend,10-15 €,"Haus der Jugend, Freiburg",16-30,Jugendliche & junge Erwachsene,@poetryslamfreiburg,Poetry Slam Freiburg,10.0,15.0,günstig,Adults,unknown,Nein,None,Herbst,Freiburg,Ja
Summer Night Cinema im Schwarzen Kloster Freiburg,"2025-06-28 bis 2025-09-07, abends",Open-Air Kino,12 €,"Schwarzes Kloster Innenhof, Freiburg",alle Altersgruppen,Filmfans & Sommerpublikum,@sommernachtskino,Sommernachtskino Freiburg,12.0,12.0,günstig,unknown,unknown,Nein,None,Sommer,Freiburg,Ja
22 Bahnen Kinoveranstaltungen,2025-09-14 bis 2025-09-17,Kino / Filmvorführung,5-12 €,"CinemaxX & Kandelhof Kino, Freiburg",18-60,Kino- & Filmpublikum,@koki_freiburg,Kommunales Kino Freiburg,5.0,12.0,günstig,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
PDC Swiss Darts Trophy,2025-09-26 bis 2025-09-28,Sport / Wettbewerb,30-80 CHF,"St. Jakobshalle, Basel",20-50,Sportfans & Zuschauer,@officialpdc,PDC Europe,30.0,80.0,teuer,Midlife,unknown,Nein,None,Herbst,Basel,Ja
Simon & Garfunkel Tribute Concert,2025-10-17 19:30,Konzert / Tribute Show,40-80 CHF,Stadtcasino Basel,30-70,Konzert- & Musikfans,@stadtcasino_basel,Stadtcasino Basel,40.0,80.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Mona Vetsch & Tom Gisler: Im mittleren Alter,2025-10-25 20:00,Bühne / Humor / Talkshow,30-60 CHF,Volkshaus Basel,30-65,Kabarett- & Kulturpublikum,@volkshausbasel,Volkshaus Basel,30.0,60.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Kommunales Kino Freiburg – Filmprogramm,2025-09-27 bis 2025-09-28,Filmfestival / Kino,8-12 €,"Kommunales Kino, Freiburg",18-60,Film- & Kulturpublikum,@koki_freiburg,Kommunales Kino Freiburg,8.0,12.0,günstig,Midlife,>10000,Nein,Multigenre,Herbst,Freiburg,Ja
Baloise Session Basel,2025-10-15 bis 2025-11-05,Musikfestival / Clubkonzerte,50-150 CHF,Basel,20-65,Festival- & Musikliebhaber,@baloisesession,Baloise Session,50.0,150.0,teuer,Senior/All Ages,>10000,Nein,Multigenre,Herbst,Basel,Ja
